,city,state
0,Morgandale,Ohio
1,Durant,Oklahoma
2,Village of Oak Creek (Big Park),Arizona
3,Lake Lotawana,Missouri
4,Seaside Heights,New Jersey
5,Stroudsburg,Pennsylvania
6,Imperial,Missouri
7,Lisbon,New Hampshire
8,Royal Palm Beach,Florida
9,River Rouge,Michigan
10,Sangaree,South Carolina
11,Cornish,Maine
12,East Sparta,Ohio
13,Corinth,New York
14,Basalt,Colorado
15,Woodlawn,Maryland
16,Mechanicsville,Pennsylvania
17,Fidelis,Florida
18,Bull Run,Virginia
19,Petaluma,California
20,South Gull Lake,Michigan
21,Mastic Beach,New York
22,Homewood,Alabama
23,Browns Mills,New Jersey
24,Middleborough Center,Massachusetts
25,Henderson,Kentucky
26,West Miami,Florida
27,Post Falls,Idaho
28,Belle Meade,Tennessee
29,Welcome,North Carolina
30,McKees Rocks,Pennsylvania
31,Herricks,New York
32,Ludlow,Kentucky
33,San Ramon,California
34,Newburgh,New York
35,Guttenberg,New Jersey
36,Riverside,Maryland
37,Edwardsville,Kansas
38,Carrollton,Virginia
39,Richmond West,Florida
40,Haddonfield,New Jersey
41,Triana,Alabama
42,Heber,California
43,Shirley,Indiana
44,Bristol,Tennessee
45,Canastota,New York
46,New Hope,Alabama
47,Mitchell,Indiana
48,Tonawanda,New York
49,Shackelford,California
50,Mabank,Texas
51,Ramseur,North Carolina
52,Smithfield,Ohio
53,Minorca,Louisiana
54,Holden,Massachusetts
55,Picture Rocks,Pennsylvania
56,Milton,Louisiana
57,Cadillac,Michigan
58,Atlantic,North Carolina
59,Hayti,Pennsylvania
60,Keystone,Colorado
61,Beattystown,New Jersey
62,Waves,North Carolina
63,Kewanee,Illinois
64,Hatboro,Pennsylvania
65,Parma,Idaho
66,Ives Estates,Florida
67,New Castle,Colorado
68,Kewaunee,Wisconsin
69,Seagrove,North Carolina
70,Johnstonville,California
71,Truckee,California
72,North Ogden,Utah
73,Woodlawn,Virginia
74,Maple Glen,Pennsylvania
75,Fort Atkinson,Wisconsin
76,Choctaw Lake,Ohio
77,Marietta-Alderwood,Washington
78,Sanatoga,Pennsylvania
79,Springfield,Massachusetts
80,Moreno Valley,California
81,Moravian Falls,North Carolina
82,West Linn,Oregon
83,Schofield,Wisconsin
84,Hammond,Louisiana
85,Palm Springs,California
86,Cedar Grove,Florida
87,Lakeland,Minnesota
88,Fairview,Tennessee
89,Lostant,Illinois
90,Rolla,Missouri
91,Yakima,Washington
92,Santa Clara,Oregon
93,Gillespie,Illinois
94,Margate City,New Jersey
95,Hunts Point,Washington
96,Brielle,New Jersey
97,Henry,Illinois
98,Wells Branch,Texas
99,Bowleys Quarters,Maryland
100,Troy,New York
101,Baton Rouge,Louisiana
102,Roswell,Georgia
103,Mooresville,North Carolina
104,Slater,Iowa
105,Herkimer,New York
106,Lake Pocotopaug,Connecticut
107,Hopkinsville,Kentucky
108,Upper Providence Township,Pennsylvania
109,Glen Cove,New York
110,Bremerton,Washington
111,Dedham,Massachusetts
112,Highland Village,Texas
113,Moscow,Idaho
114,Plainview,California
115,Gaston,Oregon
116,Westchester,Illinois
117,Frederickson,Washington
118,Carson,California
119,Pikeville,North Carolina
120,Highland Beach,Florida
121,Diggins,Missouri
122,Ridgecrest,California
123,Fergus Falls,Minnesota
124,Springs,New York
125,Whitefish,Montana
126,South Plainfield,New Jersey
127,Lilburn,Georgia
128,Flowing Wells,Arizona
129,Bright,Indiana
130,Cleveland,Alabama
131,Glenn,Georgia
132,Rochester,New York
133,North Bergen,New Jersey
134,Maggie Valley,North Carolina
135,Fuquay-Varina,North Carolina
136,Athol,Idaho
137,Newmarket,New Hampshire
138,Okmulgee,Oklahoma
139,Milton Mills,New Hampshire
140,Willowbrook,Illinois
141,Mokena,Illinois
142,Kenmore,New York
143,Dalton Gardens,Idaho
144,Palatine,New York
145,Marblehead,Massachusetts
146,Cumberland Hill,Rhode Island
147,Albany,Illinois
148,Pine Grove,Pennsylvania
149,Maple Heights,Ohio
150,Marion,New York
151,Rich Square,North Carolina
152,Wahiawa,Hawaii
153,Wilson,North Carolina
154,Pine Lawn,Missouri
155,Taylorsville,Utah
156,Reading,Pennsylvania
157,Blasdell,New York
158,Burlington,North Carolina
159,Marshallville,New Jersey
160,Reinholds,Pennsylvania
161,Winthrop,Massachusetts
162,Surfside,Florida
163,Halfway House,Pennsylvania
164,Palmerton,Pennsylvania
165,Mount Repose,Ohio
166,Stevenson,Washington
167,Haverstraw,New York
168,South Hamilton,Massachusetts
169,Avila Beach,California
170,Capac,Michigan
171,Rockford Bay,Idaho
172,Thurman,New York
173,Aynor,South Carolina
174,Scituate,Massachusetts
175,Webster,Texas
176,Roseville,Minnesota
177,Morris,Illinois
178,Pine,Arizona
179,Browntown,Pennsylvania
180,Springdale,New Jersey
181,Alameda,California
182,Talty,Texas
183,Pupukea,Hawaii
184,Youngsville,North Carolina
185,Lakeland Shores,Minnesota
186,Waterloo,Illinois
187,Pequot Lakes,Minnesota
188,Lowell,Ohio
189,Cummington,Massachusetts
190,Phoenix,Illinois
191,Warrenville,South Carolina
192,Pacific Beach,Washington
193,Mount Vernon,New York
194,Matteson,Illinois
195,Orange,Ohio
196,Brooklyn,Michigan
197,Hawaiian Paradise Park,Hawaii
198,North Manchester,Indiana
199,Winters,California
200,Manchester,Kentucky
201,Park Forest Village,Pennsylvania
202,Woodridge,Illinois
203,Northlake,Illinois
204,Oakhurst,New Jersey
205,Winlock,Washington
206,Heritage Bay,Florida
207,Sharon,Massachusetts
208,Forest Oaks,North Carolina
209,Washingtonville,New York
210,Montpelier,Maryland
211,Plantation,Florida
212,Tehaleh,Washington
213,Amity,Arkansas
214,Warrensburg,Missouri
215,Greenbriar,Virginia
216,McFarland,California
217,Archbold,Ohio
218,South Gate Ridge,Florida
219,Northlake,South Carolina
220,Middletown,Rhode Island
221,Scottdale,Georgia
222,Nortonville,Kentucky
223,Claverack-Red Mills,New York
224,West Elmira,New York
225,Ocklawaha,Florida
226,Port Orange,Florida
227,La Moille,Illinois
228,Schaghticoke,New York
229,Forsyth,Missouri
230,Sheridan,Wyoming
231,Redwood,New York
232,Forest Grove,Oregon
233,Whitemarsh Island,Georgia
234,Ortonville,Michigan
235,Rockland,Massachusetts
236,Moreland Hills,Ohio
237,Dryden,New York
238,Brazil,Indiana
239,Ausable,New York
240,Clacks Canyon,Arizona
241,Albany,Minnesota
242,Clairton,Pennsylvania
243,Perryville,Maryland
244,Shallowater,Texas
245,Stillman Valley,Illinois
246,Castanea,Pennsylvania
247,Lakeway,Texas
248,Sun City Center,Florida
