,city,state,lat,lon,boundingboxes
0,Morgandale,Ohio,41.2586346,-80.7850388,"['41.2386346', '41.2786346', '-80.8050388', '-80.7650388']"
1,Durant,Oklahoma,33.9919761,-96.3776762,"['33.9299870', '34.0918520', '-96.4657810', '-96.3204810']"
2,Village of Oak Creek (Big Park),Arizona,34.7794605,-111.7624459,"['34.7594605', '34.7994605', '-111.7824459', '-111.7424459']"
3,Lake Lotawana,Missouri,38.92511675,-94.24936370607297,"['38.9096752', '38.9405662', '-94.2748228', '-94.2423406']"
4,Seaside Heights,New Jersey,39.9427613,-74.0735588,"['39.9367570', '39.9546350', '-74.0907410', '-74.0678480']"
5,Stroudsburg,Pennsylvania,40.9864261,-75.1946649,"['40.9744951', '40.9975218', '-75.2152257', '-75.1807742']"
6,Imperial,Missouri,38.3697763,-90.3784525,"['38.3334878', '38.3970800', '-90.3958800', '-90.3438827']"
7,Lisbon,New Hampshire,44.2135187,-71.9107884,"['44.1904816', '44.2928480', '-71.9359839', '-71.7942118']"
8,Royal Palm Beach,Florida,26.7050822,-80.2279519,"['26.6654901', '26.7363005', '-80.2570445', '-80.1895578']"
9,River Rouge,Michigan,42.2729262,-83.1352891,"['42.2571832', '42.2902300', '-83.1531187', '-83.0982818']"
10,Sangaree,South Carolina,33.0354485,-80.1278678,"['33.0154485', '33.0554485', '-80.1478678', '-80.1078678']"
11,Cornish,Maine,43.804801,-70.801392,"['43.7092139', '43.8142780', '-70.8525930', '-70.7631759']"
12,East Sparta,Ohio,40.667283,-81.354835,"['40.6596240', '40.6761370', '-81.3599090', '-81.3426010']"
13,Corinth,New York,43.244703,-73.832588,"['43.1808400', '43.2790800', '-73.9916550', '-73.7476610']"
14,Basalt,Colorado,39.3688731,-107.032824,"['39.3434681', '39.3933685', '-107.0897238', '-107.0106327']"
15,Woodlawn,Maryland,39.301516,-76.745956,"['39.2615160', '39.3415160', '-76.7859560', '-76.7059560']"
16,Mechanicsville,Pennsylvania,40.3425311,-75.0739498,"['40.3225311', '40.3625311', '-75.0939498', '-75.0539498']"
17,Fidelis,Florida,30.9362947,-87.0241325,"['30.9162947', '30.9562947', '-87.0441325', '-87.0041325']"
18,Bull Run,Virginia,38.779797,-77.52242176917426,"['38.7616189', '38.7979770', '-77.5371251', '-77.5014800']"
19,Petaluma,California,38.295411,-122.61369350203252,"['38.2948970', '38.2958110', '-122.6144240', '-122.6130050']"
20,South Gull Lake,Michigan,42.3856149,-85.4094548,"['42.3656149', '42.4056149', '-85.4294548', '-85.3894548']"
21,Mastic Beach,New York,40.765722,-72.836722,"['40.7406930', '40.7885655', '-72.8681070', '-72.8071610']"
22,Homewood,Alabama,33.4737098,-86.8084509,"['33.4265078', '33.4887566', '-86.8488704', '-86.7680606']"
23,Browns Mills,New Jersey,39.972044249999996,-74.56935808169086,"['39.9528420', '39.9904100', '-74.6004630', '-74.5398230']"
24,Middleborough Center,Massachusetts,41.9245461,-70.9355968,"['41.9244961', '41.9245961', '-70.9356468', '-70.9355468']"
25,Henderson,Kentucky,37.76721,-87.5573742,"['37.6383404', '37.9753521', '-87.9270417', '-87.2714390']"
26,West Miami,Florida,25.7560176,-80.2956847,"['25.7480166', '25.7635026', '-80.3039424', '-80.2875093']"
27,Post Falls,Idaho,47.7110106,-116.9480877,"['47.6925500', '47.7594541', '-117.0417870', '-116.8564110']"
28,Belle Meade,Tennessee,36.0958924,-86.8569448,"['36.0711580', '36.1241740', '-86.8702600', '-86.8430560']"
29,Welcome,North Carolina,35.909136849999996,-80.25407273988517,"['35.8731520', '35.9451320', '-80.2956810', '-80.2289030']"
30,McKees Rocks,Pennsylvania,40.4656244,-80.0656106,"['40.4607715', '40.4763896', '-80.0834739', '-80.0466273']"
31,Herricks,New York,40.7553791,-73.6667963,"['40.7515270', '40.7627330', '-73.6736240', '-73.6533020']"
32,Ludlow,Kentucky,39.0925598,-84.5474435,"['39.0776436', '39.0999244', '-84.5645376', '-84.5369280']"
33,San Ramon,California,37.7648021,-121.9544387,"['37.7212399', '37.7951234', '-122.0044837', '-121.8769321']"
34,Newburgh,New York,41.5034271,-74.0104179,"['41.4875450', '41.5195010', '-74.0486170', '-74.0006460']"
35,Guttenberg,New Jersey,40.7920454,-74.0037505,"['40.7863546', '40.7988910', '-74.0156534', '-73.9916947']"
36,Riverside,Maryland,39.4737199,-76.2413446,"['39.4537199', '39.4937199', '-76.2613446', '-76.2213446']"
37,Edwardsville,Kansas,39.0611154,-94.8196847,"['39.0446606', '39.1066794', '-94.8536173', '-94.7879329']"
38,Carrollton,Virginia,36.9523153,-76.5317522,"['36.9123153', '36.9923153', '-76.5717522', '-76.4917522']"
39,Richmond West,Florida,25.61104565,-80.43030982370831,"['25.5953173', '25.6263658', '-80.4471010', '-80.4093520']"
40,Haddonfield,New Jersey,39.8915022,-75.0376707,"['39.8719180', '39.9165150', '-75.0514730', '-75.0163220']"
41,Triana,Alabama,34.5853276,-86.7356429,"['34.5634703', '34.6116436', '-86.7697214', '-86.7298710']"
42,Heber,California,32.729956,-115.52572625240214,"['32.7233560', '32.7379160', '-115.5345780', '-115.5003960']"
43,Shirley,Indiana,39.8915207,-85.58114023678822,"['39.8872719', '39.8960713', '-85.5883553', '-85.5739385']"
44,Bristol,Tennessee,36.5945034,-82.1885212,"['36.4677610', '36.5960300', '-82.3228530', '-82.0959750']"
45,Canastota,New York,43.079672,-75.751076,"['43.0674420', '43.1007750', '-75.7762820', '-75.7345030']"
46,New Hope,Alabama,34.5370339,-86.3944308,"['34.5099596', '34.5622017', '-86.4507543', '-86.3799922']"
47,Mitchell,Indiana,38.7328304,-86.4736019,"['38.7197470', '38.7542760', '-86.4951060', '-86.4540970']"
48,Tonawanda,New York,43.020679,-78.878383,"['42.9968180', '43.0245560', '-78.9144820', '-78.8519440']"
49,Shackelford,California,37.61382,-120.9927111,"['37.6033720', '37.6263820', '-121.0008010', '-120.9751280']"
50,Mabank,Texas,32.397251350000005,-96.16790108665323,"['32.3942708', '32.4004651', '-96.1724531', '-96.1614519']"
51,Ramseur,North Carolina,35.7334711,-79.6525267,"['35.7150940', '35.7835610', '-79.6811320', '-79.6269130']"
52,Smithfield,Ohio,40.2709027,-80.7814725,"['40.2624370', '40.2800590', '-80.7920450', '-80.7610170']"
53,Minorca,Louisiana,31.5793328,-91.481785,"['31.5593328', '31.5993328', '-91.5017850', '-91.4617850']"
54,Holden,Massachusetts,42.3560836,-71.8623548,"['42.2865445', '42.4318263', '-71.9288596', '-71.8020421']"
55,Picture Rocks,Pennsylvania,41.2798029,-76.7130116,"['41.2708190', '41.2886603', '-76.7215171', '-76.6917020']"
56,Milton,Louisiana,30.1038143,-92.0765119,"['30.0838143', '30.1238143', '-92.0965119', '-92.0565119']"
57,Cadillac,Michigan,44.2519526,-85.4011619,"['44.2229013', '44.2812774', '-85.4568580', '-85.3359840']"
58,Atlantic,North Carolina,34.8848864,-76.3404708,"['34.8648864', '34.9048864', '-76.3604708', '-76.3204708']"
59,Hayti,Pennsylvania,39.9828835,-75.8413359,"['39.9628835', '40.0028835', '-75.8613359', '-75.8213359']"
60,Keystone,Colorado,39.596564,-105.93403423480868,"['39.5217260', '39.6714030', '-106.0060880', '-105.8602220']"
61,Beattystown,New Jersey,40.820292699999996,-74.85359270928853,"['40.8009991', '40.8395470', '-74.8734930', '-74.8299077']"
62,Waves,North Carolina,35.5668395,-75.4683917,"['35.5468395', '35.5868395', '-75.4883917', '-75.4483917']"
63,Kewanee,Illinois,41.2455927,-89.9248303,"['41.2148140', '41.2614160', '-89.9647740', '-89.8870080']"
64,Hatboro,Pennsylvania,40.1746252,-75.106825,"['40.1643849', '40.1910511', '-75.1230006', '-75.0902084']"
65,Parma,Idaho,43.7851615,-116.9432088,"['43.7753150', '43.7951050', '-116.9659700', '-116.9319770']"
66,Ives Estates,Florida,25.960569200000002,-80.18341628066985,"['25.9474937', '25.9737362', '-80.1998660', '-80.1657911']"
67,New Castle,Colorado,39.5714753,-107.534965,"['39.5621250', '39.5990930', '-107.5488800', '-107.5021150']"
68,Kewaunee,Wisconsin,44.521282,-87.6301086,"['44.3270870', '44.6774693', '-87.7665020', '-86.7785384']"
69,Seagrove,North Carolina,35.5408425,-79.7778859,"['35.5251080', '35.5593110', '-79.7930700', '-79.7672672']"
70,Johnstonville,California,40.3843408,-120.587448,"['40.3643408', '40.4043408', '-120.6074480', '-120.5674480']"
71,Truckee,California,39.327962,-120.1832533,"['39.3161564', '39.3867564', '-120.3006084', '-120.0766776']"
72,North Ogden,Utah,41.3048815,-111.9650256,"['41.2845568', '41.3409168', '-111.9861028', '-111.9315863']"
73,Woodlawn,Virginia,38.7326785,-77.1148869,"['38.7126785', '38.7526785', '-77.1348869', '-77.0948869']"
74,Maple Glen,Pennsylvania,40.1796275,-75.1822113,"['40.1596275', '40.1996275', '-75.2022113', '-75.1622113']"
75,Fort Atkinson,Wisconsin,42.9288944,-88.8370509,"['42.8882400', '42.9695170', '-88.8737733', '-88.8091900']"
76,Choctaw Lake,Ohio,39.9606455,-83.48626880323172,"['39.9482520', '39.9728800', '-83.4974750', '-83.4756850']"
77,Sanatoga,Pennsylvania,40.2450981,-75.5951827,"['40.2250981', '40.2650981', '-75.6151827', '-75.5751827']"
78,Springfield,Massachusetts,42.1018764,-72.5886727,"['42.0637364', '42.1622195', '-72.6221576', '-72.4710870']"
79,Moreno Valley,California,33.937517,-117.2305944,"['33.8586803', '33.9878573', '-117.2965240', '-117.0882030']"
80,Moravian Falls,North Carolina,36.102686500000004,-81.18158238008564,"['36.0730220', '36.1322340', '-81.2011850', '-81.1582020']"
81,West Linn,Oregon,45.3656761,-122.612314,"['45.3376749', '45.4003866', '-122.6776177', '-122.6037354']"
82,Schofield,Wisconsin,44.9096907,-89.6045659,"['44.9014680', '44.9308643', '-89.6411220', '-89.5898967']"
83,Hammond,Louisiana,30.5043583,-90.4611995,"['30.4629184', '30.5462894', '-90.5167356', '-90.3982856']"
84,Palm Springs,California,33.8246269,-116.540303,"['33.6124671', '33.9319778', '-116.6844790', '-116.4428115']"
85,Cedar Grove,Florida,30.1710346,-85.6252047,"['30.1610346', '30.1810346', '-85.6352047', '-85.6152047']"
86,Lakeland,Minnesota,44.955056,-92.7709101,"['44.9308368', '44.9744035', '-92.7816383', '-92.7534304']"
87,Fairview,Tennessee,35.9820074,-87.1213953,"['35.9380720', '36.0480980', '-87.1896900', '-87.0564830']"
88,Lostant,Illinois,41.142812,-89.0600817,"['41.1045400', '41.1461190', '-89.0749000', '-89.0540730']"
89,Rolla,Missouri,37.9509324,-91.7708076,"['37.9148258', '37.9921051', '-91.8217548', '-91.6694813']"
90,Yakima,Washington,46.601557,-120.510842,"['46.5572920', '46.6307770', '-120.6444942', '-120.4603350']"
91,Santa Clara,Oregon,44.1034576,-123.1312002,"['44.0834576', '44.1234576', '-123.1512002', '-123.1112002']"
92,Gillespie,Illinois,39.1266528,-89.8163435,"['39.1142990', '39.1370450', '-89.8313500', '-89.8041790']"
93,Margate City,New Jersey,39.327894,-74.5034858,"['39.3094315', '39.3448860', '-74.5229523', '-74.4850850']"
94,Hunts Point,Washington,47.6434321,-122.230124,"['47.6355420', '47.6523135', '-122.2333130', '-122.2232250']"
95,Brielle,New Jersey,40.1078931,-74.0565263,"['40.0878931', '40.1278931', '-74.0765263', '-74.0365263']"
96,Henry,Illinois,41.3418549,-90.1177442,"['41.1493962', '41.5862500', '-90.4376970', '-89.8567350']"
97,Wells Branch,Texas,30.446081749999998,-97.6771739673697,"['30.4245168', '30.4682250', '-97.6978210', '-97.6665680']"
98,Bowleys Quarters,Maryland,39.3172213,-76.3910467,"['39.2972213', '39.3372213', '-76.4110467', '-76.3710467']"
99,Troy,New York,42.7284117,-73.6917878,"['42.6940400', '42.7952720', '-73.7064390', '-73.6491630']"
100,Baton Rouge,Louisiana,30.4494155,-91.1869659,"['30.3383782', '30.5589767', '-91.2350363', '-90.9993438']"
101,Roswell,Georgia,34.02332,-84.360022,"['33.9717368', '34.1182390', '-84.4191340', '-84.2615877']"
102,Mooresville,North Carolina,35.5848596,-80.8100724,"['35.5235630', '35.6424730', '-80.9114040', '-80.7633170']"
103,Slater,Iowa,41.8824145,-93.683684,"['41.8680843', '41.8888519', '-93.6980908', '-93.6735998']"
104,Herkimer,New York,43.4911326,-74.9481252,"['42.8250860', '44.0970680', '-75.2189400', '-74.6959850']"
105,Lake Pocotopaug,Connecticut,41.5984325,-72.5103654,"['41.5724470', '41.6109970', '-72.5295960', '-72.4877950']"
106,Hopkinsville,Kentucky,36.8657651,-87.4889532,"['36.7016740', '36.8984110', '-87.5514690', '-87.3725540']"
107,Upper Providence Township,Pennsylvania,39.931663650000004,-75.38895143371201,"['39.9001627', '39.9632170', '-75.4323716', '-75.3647149']"
108,Glen Cove,New York,40.8641845,-73.6319174,"['40.8458730', '40.9509830', '-73.6780990', '-73.5907570']"
109,Bremerton,Washington,47.5653663,-122.6246836,"['47.4616173', '47.6068695', '-122.8054182', '-122.5965239']"
110,Dedham,Massachusetts,42.2489143,-71.1755732,"['42.2092228', '42.2804552', '-71.2317207', '-71.1307490']"
111,Highland Village,Texas,33.091788,-97.0466759,"['33.0715100', '33.1177100', '-97.0880120', '-97.0285168']"
112,Moscow,Idaho,46.7323875,-117.000165,"['46.6986975', '46.7586080', '-117.0398820', '-116.9605363']"
113,Plainview,California,36.1441184,-119.1339951,"['36.1382899', '36.1455726', '-119.1432552', '-119.1298450']"
114,Gaston,Oregon,45.4362259,-123.139236,"['45.4297573', '45.4393612', '-123.1560074', '-123.1357735']"
115,Westchester,Illinois,41.8505866,-87.8820048,"['41.8333657', '41.8711600', '-87.9111772', '-87.8670610']"
116,Frederickson,Washington,47.0962112,-122.35873,"['47.0529660', '47.1068280', '-122.4002900', '-122.3211320']"
117,Carson,California,33.8322043,-118.2517547,"['33.7925855', '33.8861886', '-118.2887735', '-118.2059253']"
118,Pikeville,North Carolina,35.497105,-77.9819312,"['35.4924802', '35.5063730', '-77.9952840', '-77.9778710']"
119,Highland Beach,Florida,26.3995204,-80.0655977,"['26.3908754', '26.4324109', '-80.0707738', '-80.0569761']"
120,Diggins,Missouri,37.1725502,-92.85434,"['37.1557270', '37.1882320', '-92.8785340', '-92.8134170']"
121,Ridgecrest,California,35.6206924,-117.672097,"['35.5638910', '35.6807868', '-117.7057919', '-117.6163950']"
122,Fergus Falls,Minnesota,46.283015,-96.077558,"['46.2387587', '46.3186457', '-96.1690581', '-96.0191801']"
123,Springs,New York,41.0162112,-72.1592444,"['40.9905020', '41.0625630', '-72.1879690', '-72.1148140']"
124,Whitefish,Montana,48.4108018,-114.334624,"['48.3727300', '48.4864040', '-114.4331060', '-114.3077070']"
125,South Plainfield,New Jersey,40.5792701,-74.4115401,"['40.5438380', '40.6009010', '-74.4410470', '-74.3861880']"
126,Lilburn,Georgia,33.8901036,-84.1429719,"['33.8650470', '33.9090420', '-84.1677140', '-84.1088130']"
127,Flowing Wells,Arizona,32.29579915,-111.02670106756077,"['32.2816041', '32.3099683', '-111.0410256', '-111.0176963']"
128,Bright,Indiana,39.2183885,-84.8560633,"['39.1465230', '39.2480090', '-84.8915280', '-84.8202645']"
129,Cleveland,Alabama,33.9909316,-86.5774905,"['33.9643947', '34.0278544', '-86.5965771', '-86.5407060']"
130,Glenn,Georgia,33.1542875,-85.2029992,"['33.1342875', '33.1742875', '-85.2229992', '-85.1829992']"
131,Rochester,New York,43.157285,-77.615214,"['43.1033600', '43.2677292', '-77.7015050', '-77.5325100']"
132,North Bergen,New Jersey,40.8042674,-74.012084,"['40.7573700', '40.8235690', '-74.0568815', '-73.9848673']"
133,Maggie Valley,North Carolina,35.5181575,-83.0976419,"['35.5032151', '35.5650215', '-83.1104039', '-83.0054156']"
134,Fuquay-Varina,North Carolina,35.5843849,-78.7998691,"['35.5442301', '35.6719052', '-78.8677669', '-78.6763684']"
135,Athol,Idaho,47.9479601,-116.707974,"['47.9332491', '47.9518460', '-116.7176200', '-116.6876300']"
136,Newmarket,New Hampshire,43.082931,-70.935974,"['43.0490365', '43.0902414', '-71.0133050', '-70.8754010']"
137,Okmulgee,Oklahoma,35.6677078,-95.9690122,"['35.3766908', '35.8570882', '-96.1927315', '-95.7125930']"
138,Milton Mills,New Hampshire,43.5011915,-70.9636749,"['43.4811915', '43.5211915', '-70.9836749', '-70.9436749']"
139,Willowbrook,Illinois,41.7697533,-87.9358931,"['41.7426855', '41.7832990', '-87.9643000', '-87.9232300']"
140,Mokena,Illinois,41.5261437,-87.8892189,"['41.4916898', '41.5555558', '-87.9280480', '-87.8118992']"
141,Kenmore,New York,42.961748,-78.870914,"['42.9585830', '42.9733030', '-78.8893060', '-78.8531150']"
142,Dalton Gardens,Idaho,47.7296276,-116.77019,"['47.7224579', '47.7481200', '-116.7867650', '-116.7488290']"
143,Palatine,New York,42.9493233,-74.5534138,"['42.8944460', '43.0031200', '-74.6416080', '-74.4735240']"
